,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
0,A D'Orsongna,0.0,1.0,1.0,0.0,1.0
1,A Difrancesco,0.0,1.0,1.0,0.0,1.0
2,A El Ghani,0.0,1.0,1.0,0.0,1.0
3,A Ferguson,1.0,1.0,2.0,0.5,0.5
4,A Fine,0.0,1.0,1.0,0.0,1.0
5,A G Barker,1.0,1.0,2.0,0.5,0.5
6,A Galbraith,1.0,1.0,2.0,0.5,0.5
7,A H Davies,0.0,1.0,1.0,0.0,1.0
8,A Hernandez,0.0,1.0,1.0,0.0,1.0
9,A Hill,0.0,1.0,1.0,0.0,1.0
10,A J Gould,1.0,1.0,2.0,0.5,0.5
11,A Jackson,1.0,1.0,2.0,0.5,0.5
12,A Jammond,0.0,1.0,1.0,0.0,1.0
13,A Jordan,0.0,1.0,1.0,0.0,1.0
14,A Luttrell,0.0,1.0,1.0,0.0,1.0
15,A M Thomas,0.0,1.0,1.0,0.0,1.0
16,A Macdonald,1.0,1.0,2.0,0.5,0.5
17,A Mcgrath,0.0,1.0,1.0,0.0,1.0
18,A Moscoso,0.0,1.0,1.0,0.0,1.0
19,A Sapire,0.0,1.0,1.0,0.0,1.0
20,A Saul,0.0,2.0,2.0,0.0,1.0
21,A Simcox,0.0,1.0,1.0,0.0,1.0
22,A Simmons,0.0,1.0,1.0,0.0,1.0
23,A Trenkle,0.0,1.0,1.0,0.0,1.0
24,A Uehara,0.0,2.0,2.0,0.0,1.0
25,A Webb,0.0,1.0,1.0,0.0,1.0
26,A Whittaker,0.0,2.0,2.0,0.0,1.0
27,AJ Mitha,1.0,1.0,2.0,0.5,0.5
28,Aaron Krickstein,389.0,254.0,643.0,0.6049766718506998,0.39502332814930013
29,Abdel Aslam Mahmoudi,0.0,1.0,1.0,0.0,1.0
30,Abdel Ghani,0.0,1.0,1.0,0.0,1.0
31,Abdelkader Madani,0.0,1.0,1.0,0.0,1.0
32,Abdul Hamid Makhkamov,0.0,1.0,1.0,0.0,1.0
33,Abdulla Hajji,0.0,3.0,3.0,0.0,1.0
34,Abe Segal,4.0,10.0,14.0,0.2857142857142857,0.7142857142857143
35,Adam Anderson,0.0,2.0,2.0,0.0,1.0
36,Adam Chadaj,1.0,1.0,2.0,0.5,0.5
37,Adam Kennedy,0.0,3.0,3.0,0.0,1.0
38,Adam Malik,2.0,3.0,5.0,0.4,0.6
