,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
0,A Aguilar,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
1,A Benson,1.0,1.0,2.0,0.5,0.5
2,A Caulfield,0.0,1.0,1.0,0.0,1.0
3,A Hall,0.0,1.0,1.0,0.0,1.0
4,A Hernandez,0.0,2.0,2.0,0.0,1.0
5,A Mizuno,0.0,1.0,1.0,0.0,1.0
6,A Noffat,0.0,1.0,1.0,0.0,1.0
7,Aaro Pollanen,0.0,1.0,1.0,0.0,1.0
8,Aaron Addison,2.0,9.0,11.0,0.18181818181818182,0.8181818181818182
9,Aaron Badart,0.0,2.0,2.0,0.0,1.0
10,Aaron Cohen,0.0,1.0,1.0,0.0,1.0
11,Aaron De Leon,0.0,1.0,1.0,0.0,1.0
12,Aaron Krickstein,1.0,3.0,4.0,0.25,0.75
13,Aaron Marchetti,0.0,1.0,1.0,0.0,1.0
14,Aaron Yovan,0.0,1.0,1.0,0.0,1.0
15,Abd Hazli Bin Zainuddin,0.0,2.0,2.0,0.0,1.0
16,Abdelkader Benabdellah,0.0,1.0,1.0,0.0,1.0
17,Abdul Hamid Makhkamov,0.0,7.0,7.0,0.0,1.0
18,Abdul Kahar Mim,1.0,4.0,5.0,0.2,0.8
19,Abdul Khalek Nadini,1.0,6.0,7.0,0.14285714285714285,0.8571428571428571
20,Abdulla Al Jufairi,0.0,1.0,1.0,0.0,1.0
21,Abdulla Al Mohamoud,0.0,1.0,1.0,0.0,1.0
22,Abdulla Hajji,0.0,1.0,1.0,0.0,1.0
23,Abdullah Maqdas,0.0,7.0,7.0,0.0,1.0
24,Abdullah Shannan Alharrasi,0.0,2.0,2.0,0.0,1.0
25,Abdulrahman Al Harib,0.0,3.0,3.0,0.0,1.0
26,Abdulrahman Al Janahi,0.0,1.0,1.0,0.0,1.0
27,Abduvoris Saitmukhamedov,0.0,2.0,2.0,0.0,1.0
28,Abhijeet Tiwari,0.0,2.0,2.0,0.0,1.0
29,Abhinav Sanjeev Shanmugam,8.0,8.0,16.0,0.5,0.5
30,Abraham Gonzalez Jimenez,0.0,2.0,2.0,0.0,1.0
31,Abraham Souza,0.0,1.0,1.0,0.0,1.0
32,Abror Isakov,1.0,3.0,4.0,0.25,0.75
33,Ace Matias,0.0,1.0,1.0,0.0,1.0
34,Adam Anderson,5.0,8.0,13.0,0.38461538461538464,0.6153846153846154
35,Adam Bronka,0.0,1.0,1.0,0.0,1.0
36,Adam Chadaj,36.0,64.0,100.0,0.36,0.64
37,Adam Davidson,0.0,1.0,1.0,0.0,1.0
38,Adam El Mihdawy,21.0,51.0,72.0,0.2916666666666667,0.7083333333333334
39,Adam Fass,0.0,5.0,5.0,0.0,1.0
40,Adam Feeney,39.0,65.0,104.0,0.375,0.625
41,Adam Gustavsson,0.0,1.0,1.0,0.0,1.0
42,Adam Hubble,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
43,Adam Jaya,0.0,1.0,1.0,0.0,1.0
44,Adam Jones,0.0,1.0,1.0,0.0,1.0
45,Adam Jurajda,0.0,1.0,1.0,0.0,1.0
46,Adam Kellner,9.0,19.0,28.0,0.32142857142857145,0.6785714285714286
47,Adam Kennedy,4.0,7.0,11.0,0.36363636363636365,0.6363636363636364
48,Adam Lee,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
49,Adam Lownsbrough,0.0,3.0,3.0,0.0,1.0
50,Adam Majchrowicz,0.0,8.0,8.0,0.0,1.0
51,Adam Malik,1.0,12.0,13.0,0.07692307692307693,0.9230769230769231
52,Adam Moundir,0.0,2.0,2.0,0.0,1.0
53,Adam Nagoudi,0.0,1.0,1.0,0.0,1.0
54,Adam Pavlasek,151.0,120.0,271.0,0.5571955719557196,0.44280442804428044
55,Adam Peterson,5.0,9.0,14.0,0.35714285714285715,0.6428571428571429
56,Adam Sanjurjo Hermida,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
57,Adam Skrzypczak,1.0,4.0,5.0,0.2,0.8
58,Adam Taylor,0.0,2.0,2.0,0.0,1.0
59,Adam Thompson,0.0,5.0,5.0,0.0,1.0
60,Adam Thornton Brown,0.0,3.0,3.0,0.0,1.0
61,Adam Vejmelka,12.0,49.0,61.0,0.19672131147540983,0.8032786885245902
62,Adam Walton,0.0,3.0,3.0,0.0,1.0
63,Adar Sumarno,0.0,1.0,1.0,0.0,1.0
64,Adelchi Virgili,16.0,29.0,45.0,0.35555555555555557,0.6444444444444445
65,Adem Ozmeral,0.0,4.0,4.0,0.0,1.0
66,Adhan Hissam El Effendi,0.0,1.0,1.0,0.0,1.0
67,Adi Kremer,0.0,1.0,1.0,0.0,1.0
68,Adil Kalyanpur,0.0,6.0,6.0,0.0,1.0
69,Adil Karimov,0.0,1.0,1.0,0.0,1.0
70,Adil Shamasdin,0.0,2.0,2.0,0.0,1.0
71,Adirek Kundarnpinitvon,0.0,1.0,1.0,0.0,1.0
